tip_x,tip_y,tip_z,tau_1,tau_2,tau_3,theta,s_start
0,0,0.001,0,0,0,0,0.119
-0.0405254,0.00666444,0.00107049,0.0604399,3.32317,1.35564,-1.93615,0.0472836
-0.0333637,-0.0012089,0.00577052,1.00607,3.02692,2.25103,-1.59162,0.0535113
-0.039297,0.0114049,0.00720876,0.303923,2.57673,3.19584,-1.78772,0.0538859
-0.039485,0.0204136,0.00952553,0.20856,2.25883,2.77489,-1.97571,0.0499805
-0.0375784,0.0175872,0.00977419,0.364697,3.23501,3.23936,-2.00793,0.0541791
-0.0218634,-0.0072678,0.0131099,0.180703,0.405516,2.43979,-0.507984,0.0775097
-0.0167855,-0.0159105,0.0172415,1.34114,2.07851,0.572092,-1.47805,0.0569294
-0.0171125,-0.0047844,0.0202331,0.914954,0.0498287,3.46482,-0.0416088,0.0878503
-0.020886,0.00918952,0.0262057,3.44403,1.364,0.390064,1.00644,0.0798503
-0.00681109,-0.00528975,0.0386439,0.0277675,0.305146,0.326017,-0.870433,0.078937
-0.00697077,-0.0159284,0.0452728,0.851928,0.652063,0.647239,-0.421036,0.0591479
-0.0295304,-0.0136622,0.0617614,0.482192,0.776014,0.504626,-1.89298,0.036605
-0.0368515,-0.0216339,0.0652421,1.32418,1.43002,1.81746,1.57953,0.0193103
-0.00838685,-0.0077785,0.0681001,1.23725,2.69458,3.27677,1.09656,0.0206075
-0.0126596,-0.0225819,0.068552,1.82921,1.35879,1.0688,-3.01842,0.0351954
0.0152522,-0.0100532,0.0720619,0.0585696,0.224337,0.107635,0.299367,0.0429347
-0.0178605,-0.0254507,0.072091,1.9036,2.38689,2.66112,2.10936,0.0217324
-0.0150369,-0.0339615,0.0751409,0.439922,1.29786,1.35652,-0.264608,0.0259774
0,0,0.001,0,0,0,0,0.119
