tip_x,tip_y,tip_z
-0.058,0.011,-0.001
-0.065,0.02,-0.0005
-0.047,0.004,0.001
-0.037,-0.005,0.007
-0.048,0.015,0.009
-0.038,0.01,0.014
-0.028,-0.009,0.015
-0.039,0.018,0.021
-0.029,0.006,0.022
-0.022,-0.008,0.023
-0.024,0.006,0.027
-0.038,-0.024,0.028
-0.052,-0.022,0.032
-0.01,-0.005,0.04
-0.01,-0.015,0.046
-0.029,-0.009,0.057
-0.04,-0.011,0.059
-0.002,-0.007,0.073
-0.083,-0.024,0.074
-0.01,-0.0176,0.074
0.01,-0.009,0.075
-0.053,-0.018,0.076
-0.015,-0.025,0.078
-0.064,-0.029,0.079
-0.012,-0.033,0.084
